,区/县,区域,小区,总价,单价,房屋户型,楼层,总面积,户型结构,套内面积,建筑类型,朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,s,交易权属,u,形式,是否满五,产权形式,是否有房本,小区均价,小区建成,style,总栋数,总楼层
0,朝阳,东坝,奥林匹克花园四期,760.0,54453.0,3室1厅2卫,低楼层,139.57,平层,124.91㎡,板楼,南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43766,商品房,40679,普通住宅,满五年,共有,已上传房本照片,60708,2009,板楼/塔板结合,23,10
1,顺义,顺义城,石园北区,439.0,33082.1,3室1厅2卫,低楼层,132.7,平层,107.19㎡,板楼,南北,混合结构,简装,10列无数据,11列无数据,12列无数据,70年,43749,商品房,41912,普通住宅,满五年,非共有,已上传房本照片,34244,1996,塔楼/板楼,79,16
2,门头沟,滨河西区,葡东小区,168.0,22547.3,2室2厅1卫,地下室,74.51,平层,无信息,板楼,南,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43756,商品房,43362,普通住宅,暂无数据,共有,已上传房本照片,31881,1995,板楼,28,6
3,房山,良乡,聪慧里,165.0,28080.3,2室1厅1卫,高楼层,58.76,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43806,已购公房,42852,普通住宅,满两年,非共有,已上传房本照片,30619,1992,板楼,3,6
4,海淀,清河,强佑清河新城,442.0,68000.0,2室1厅1卫,中楼层,65,平层,52.98㎡,板塔结合,东南,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43595,商品房,40995,普通住宅,满五年,共有,已上传房本照片,66372,2007,塔楼/板楼/塔板结合,12,27
5,大兴,枣园,枣园小区,259.0,36545.8,2室1厅1卫,高楼层,70.87,平层,无信息,板楼,南北,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43713,商品房,40083,普通住宅,满五年,非共有,已上传房本照片,38279,1991,板楼,51,6
6,海淀,海淀北部新区,上庄馨瑞嘉园,255.0,36237.0,1室1厅1卫,低楼层,70.37,平层,54.63㎡,板楼,南,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43659,限价商品房,41829,普通住宅,满五年,非共有,已上传房本照片,39499,2005,板楼/塔板结合,15,14
7,石景山,杨庄,杨庄中区,327.0,40737.5,2室1厅1卫,高楼层,80.27,平层,无信息,板楼,西南北,钢混结构,简装,10列无数据,11列无数据,70年,13列无数据,43668,已购公房,36678,普通住宅,满五年,非共有,已上传房本照片,42041,1996,塔楼/板楼,12,16
8,昌平,天通苑,太平家园,352.0,38398.6,2室2厅1卫,高楼层,91.67,平层,无信息,板楼,南北,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43722,商品房,41458,普通住宅,满五年,非共有,已上传房本照片,40286,1995,板楼,33,6
9,朝阳,常营,北辰福第一号院,389.0,44457.1,3室1厅1卫,高楼层,87.5,平层,68.91㎡,板塔结合,南东北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43715,限价商品房,41886,普通住宅,满五年,非共有,已上传房本照片,48018,2008,塔板结合,3,27
